,precision,recall,f1-score,support
CNV,0.8472183780791586,0.9671406003159557,0.9032162879905576,3165.0
DME,0.9326788218793829,0.6050955414012739,0.7339955849889624,1099.0
DRUSEN,0.8465116279069768,0.23243933588761176,0.36472945891783565,783.0
NORMAL,0.8238872878642332,0.9831868551776843,0.8965156794425088,2617.0
accuracy,0.8456419624217119,0.8456419624217119,0.8456419624217119,0.8456419624217119
macro avg,0.8625740289324377,0.6969655831956314,0.7246142528349662,7664.0
weighted avg,0.8514342156651671,0.8456419624217119,0.8216473641475334,7664.0
