epoch,accuracy,loss,val_accuracy,val_loss
0,0.6279289722442627,0.9709799289703369,0.8025851845741272,0.5276020765304565
1,0.7413027882575989,0.718309223651886,0.8239979147911072,0.4645470976829529
2,0.7672638893127441,0.6540066003799438,0.8374461531639099,0.4342997968196869
3,0.7827328443527222,0.6239709258079529,0.8394046425819397,0.4259490668773651
4,0.7873507142066956,0.6052834987640381,0.8469774127006531,0.4122947156429291
5,0.7936329245567322,0.590505063533783,0.8499804139137268,0.40276038646698
6,0.7976796627044678,0.5807458162307739,0.8486747741699219,0.4092260003089905
7,0.8001599311828613,0.5764662027359009,0.8567698001861572,0.38751012086868286
8,0.8016284704208374,0.5709846615791321,0.8567698001861572,0.39100518822669983
9,0.803341805934906,0.5615285634994507,0.8554641604423523,0.38567012548446655
10,0.804076075553894,0.5590977668762207,0.8575531840324402,0.3814796209335327
11,0.8052183389663696,0.5604583621025085,0.8604256510734558,0.37481003999710083
12,0.8058220744132996,0.5550283789634705,0.857944905757904,0.37901607155799866
13,0.8061158061027527,0.5520914793014526,0.8601645231246948,0.3764479458332062
14,0.8078128099441528,0.5541974306106567,0.8609479069709778,0.37178051471710205
15,0.8075190782546997,0.5468133091926575,0.85951167345047,0.3757666349411011
16,0.8075680732727051,0.5513318777084351,0.8591200113296509,0.37332993745803833
17,0.809575080871582,0.5482494235038757,0.858989417552948,0.3728494942188263
18,0.8071274757385254,0.5509832501411438,0.85951167345047,0.3719266653060913
19,0.8081880807876587,0.5460394024848938,0.8643426299095154,0.36275896430015564
