,precision,recall,f1-score,support
CNV,0.9893719806763285,0.9706161137440759,0.9799043062200957,3165.0
DME,0.9549143372407575,0.9636032757051866,0.9592391304347826,1099.0
DRUSEN,0.8840937114673243,0.9157088122605364,0.8996235884567126,783.0
NORMAL,0.9734748010610079,0.9816583874665648,0.9775494672754946,2617.0
accuracy,0.9677713987473904,0.9677713987473904,0.9677713987473904,0.9677713987473904
macro avg,0.9504637076113545,0.9578966472940909,0.9540791230967713,7664.0
weighted avg,0.9682466213366056,0.9677713987473904,0.9679349111633617,7664.0
