loss,accuracy,val_loss,val_accuracy
0.1899823409136635,0.9344037595457215,0.1401120769364616,0.9499934717326022
0.12822006778012496,0.9561223157757327,0.11325523663473436,0.960569264917091
0.10478345096689021,0.9638241629136479,0.11792098126895964,0.9616137877007442
0.08806265963106935,0.9698453103583317,0.10412514762609895,0.9663141402271838
0.0773626266815452,0.9735820116180406,0.09840059831859706,0.9659224441833137
0.0681081389539189,0.9765844266040076,0.10267514128329071,0.9656613134874005
0.05941318657070832,0.9794726192807258,0.12657975502442895,0.9629194411803107
0.05464132568872071,0.9812838587559559,0.10367182594213241,0.9691865778822301
0.05058015759656499,0.9829645584491874,0.09562247035799165,0.9685337511424468
0.044260339673333586,0.9844984008876705,0.10608915775165274,0.9682726204465335
0.040540233019822104,0.9861627831081522,0.10150138375077042,0.9711450581015798
0.03860304919398855,0.9870112916911429,0.12475373984490169,0.9663141402271838
0.03673143546152882,0.987451863455388,0.10557675059123892,0.9686643164904034
0.032142975455308496,0.9889204360028718,0.1155760638610027,0.9704922313617966
