epoch,accuracy,loss,val_accuracy,val_loss
0,0.7052411437034607,0.7980067729949951,0.8179919123649597,0.5334767699241638
1,0.7904183864593506,0.5848273634910583,0.8396657705307007,0.4675303101539612
2,0.8062136769294739,0.5373280048370361,0.8491970300674438,0.4367832541465759
3,0.8158899545669556,0.5151967406272888,0.8555947542190552,0.42106691002845764
4,0.8186149597167969,0.5007118582725525,0.8583365678787231,0.40764278173446655
5,0.8229390978813171,0.4926452040672302,0.8613396286964417,0.39863574504852295
6,0.8263331651687622,0.4834270775318146,0.8632980585098267,0.3939613997936249
7,0.8273448348045349,0.4771261513233185,0.8640815019607544,0.39101800322532654
8,0.829743504524231,0.4736312925815582,0.8636897802352905,0.3850436806678772
9,0.830314576625824,0.4691583812236786,0.8651260137557983,0.3823932707309723
10,0.827475368976593,0.47213077545166016,0.8672150373458862,0.3781622052192688
11,0.8296129703521729,0.4668601155281067,0.8687818050384521,0.3754550516605377
12,0.8342797756195068,0.46143585443496704,0.8685206770896912,0.37232083082199097
13,0.8335781097412109,0.46279069781303406,0.868912398815155,0.36874887347221375
14,0.8346061110496521,0.461377888917923,0.8700875043869019,0.36990272998809814
15,0.8333496451377869,0.46114382147789,0.8707402944564819,0.3667638599872589
16,0.8330233097076416,0.4623105525970459,0.8716542720794678,0.3665933609008789
17,0.8323379755020142,0.45914730429649353,0.8720459342002869,0.36164528131484985
18,0.8349487781524658,0.4549282193183899,0.8719154000282288,0.36290666460990906
19,0.8349651098251343,0.4565885066986084,0.8717848062515259,0.36344119906425476
