epoch,accuracy,loss,val_accuracy,val_loss
0,0.7127472162246704,0.7685731053352356,0.8038908243179321,0.5511446595191956
1,0.7933228611946106,0.5633513331413269,0.8183835744857788,0.5070775151252747
2,0.8138013482093811,0.5134845972061157,0.8273926377296448,0.47483351826667786
3,0.8235591650009155,0.4851253032684326,0.8289594054222107,0.46778592467308044
4,0.8285523056983948,0.46963241696357727,0.8371850252151489,0.44181445240974426
5,0.8330559134483337,0.4592399001121521,0.8349654078483582,0.4444068670272827
6,0.8369557857513428,0.4490046799182892,0.8377072811126709,0.4420394003391266
7,0.8395176529884338,0.44465741515159607,0.8352265357971191,0.4507342576980591
8,0.8419979214668274,0.43670380115509033,0.837054431438446,0.44811755418777466
9,0.8419815897941589,0.4366576075553894,0.8399268984794617,0.43310269713401794
10,0.8434501886367798,0.4347647726535797,0.8382295370101929,0.4383171796798706
11,0.843711256980896,0.4337044060230255,0.8435826897621155,0.41969770193099976
12,0.8441191911697388,0.4306528866291046,0.8447577953338623,0.4161882996559143
13,0.8441844582557678,0.4292464554309845,0.836140513420105,0.4494421184062958
14,0.8449676632881165,0.4273187816143036,0.8405796885490417,0.42711910605430603
15,0.8438581228256226,0.4293883740901947,0.8384906649589539,0.43443381786346436
16,0.8454245924949646,0.4236159324645996,0.8413631319999695,0.42859014868736267
17,0.8451797962188721,0.42789503931999207,0.8418853878974915,0.42834949493408203
