loss,accuracy,val_loss,val_accuracy
0.25544646803733884,0.9164219045754194,0.1428201404903709,0.9507768638203421
0.17127271862947985,0.945548593433849,0.14231882764121126,0.9492100796448623
0.14479944951517174,0.9538705045362574,0.1422840952089528,0.9524742133437786
0.12413052758733238,0.9603485412179361,0.13885327000224448,0.9523436479958219
0.10622930022267003,0.9656517198616278,0.10867779175784047,0.9640945293119206
0.0948523858084597,0.9697147705763332,0.1153162703391519,0.9621360490925708
0.08671036090469733,0.9721623914888062,0.11103151143144087,0.9643556600078339
0.07784640572224877,0.9748547744925266,0.12213627335831354,0.9620054837446141
0.06945490195170881,0.9774329351869983,0.1248606924397724,0.9622666144405275
0.0641227703886926,0.9787220155342341,0.10457685615556678,0.9669669669669669
0.0592690436265929,0.9804843025912147,0.1090197806432708,0.9686643164904034
0.05506861024716138,0.9818712877749494,0.12167694997344286,0.9650084867476172
0.052028940475799264,0.9832419554859343,0.10788430533036703,0.9681420550985769
0.0479605976433408,0.9845147183604204,0.1161841156992345,0.9670975323149236
0.04472044413337208,0.9848573852881666,0.11343757293888417,0.9676197937067502
